UN Region,year_smoothed,new_infections_smoothed
Central Africa,1992.4615384615386,20481.568106925326
Central Africa,1992.5,20575.0
Central Africa,1992.5384615384614,20668.431893074674
Central Africa,1992.576923076923,20750.372564027104
Central Africa,1992.6153846153845,20814.364883960927
Central Africa,1992.6538461538462,20859.960768906134
Central Africa,1992.6923076923076,20890.36780741682
Central Africa,1992.7307692307693,20909.760602518556
Central Africa,1992.7692307692307,20921.77897751303
Central Africa,1992.8076923076924,20929.095194725563
Central Africa,1992.8461538461538,20933.500583702644
Central Africa,1992.8846153846155,20936.13582068373
Central Africa,1992.923076923077,20937.705968967606
Central Africa,1992.9615384615386,20938.639307820573
Central Africa,1993.0,20940.0
Central Africa,1993.0384615384614,20942.03171845969
Central Africa,1993.076923076923,20943.425334007272
Central Africa,1993.1153846153845,20945.76980199279
Central Africa,1993.1538461538462,20949.704607896056
Central Africa,1993.1923076923076,20956.28251746457
Central Africa,1993.2307692307693,20967.206732206574
Central Africa,1993.2692307692307,20985.151977061334
Central Africa,1993.3076923076924,21014.108342350228
Central Africa,1993.3461538461538,21059.510632729198
Central Africa,1993.3846153846155,21127.592159565193
Central Africa,1993.423076923077,21223.142335904733
Central Africa,1993.4615384615386,21345.492104861103
Central Africa,1993.5,21485.0
Central Africa,1993.5384615384614,21624.5078951389
Central Africa,1993.576923076923,21746.857664095267
Central Africa,1993.6153846153845,21842.407840434807
Central Africa,1993.6538461538462,21910.489367270802
Central Africa,1993.6923076923076,21955.891657649772
Central Africa,1993.7307692307693,21984.848022938666
Central Africa,1993.7692307692307,22002.793267793426
Central Africa,1993.8076923076924,22013.71748253543
Central Africa,1993.8461538461538,22020.295392103944
Central Africa,1993.8846153846155,22024.23019800721
Central Africa,1993.923076923077,22026.574665992728
Central Africa,1993.9615384615386,22027.96828154031
Central Africa,1994.0,22030.0
Central Africa,1994.0384615384614,22032.423150456514
Central Africa,1994.076923076923,22034.085260742617
Central Africa,1994.1153846153845,22036.881415220756
Central Africa,1994.1538461538462,22041.574302995294
Central Africa,1994.1923076923076,22049.419516242146
Central Africa,1994.2307692307693,22062.448396209675
Central Africa,1994.2692307692307,22083.85098181627
Central Africa,1994.3076923076924,22118.386096381008
Central Africa,1994.3461538461538,22172.535617016478
Central Africa,1994.3846153846155,22253.733768288763
Central Africa,1994.423076923077,22367.692694198307
Central Africa,1994.4615384615386,22513.614436990305
Central Africa,1994.5,22680.0
Central Africa,1994.5384615384614,22846.385563009695
Central Africa,1994.576923076923,22992.307305801696
Central Africa,1994.6153846153845,23106.266231711237
Central Africa,1994.6538461538462,23187.464382983526
Central Africa,1994.6923076923076,23241.613903618992
Central Africa,1994.7307692307693,23276.14901818373
Central Africa,1994.7692307692307,23297.551603790325
Central Africa,1994.8076923076924,23310.580483757854
Central Africa,1994.8461538461538,23318.425697004706
