type,year,spend
Internet,2014.9545454545455,93567991953.63522
Internet,2015.0,93680300000.0
Internet,2015.0454545454545,93825394315.18758
Internet,2015.090909090909,93918485929.28864
Internet,2015.1363636363637,94070223045.76819
Internet,2015.1818181818182,94315759850.45865
Internet,2015.2272727272727,94708445504.61647
Internet,2015.2727272727273,95324829484.68054
Internet,2015.3181818181818,96264500146.51749
Internet,2015.3636363636363,97635102930.59799
Internet,2015.409090909091,99510681073.88013
Internet,2015.4545454545455,101865004158.875
Internet,2015.5,104519800000.0
Internet,2015.5454545454545,107174595841.125
Internet,2015.590909090909,109528918926.11987
Internet,2015.6363636363637,111404497069.40201
Internet,2015.6818181818182,112775099853.48251
Internet,2015.7272727272727,113714770515.31946
Internet,2015.7727272727273,114331154495.38353
Internet,2015.8181818181818,114723840149.54135
Internet,2015.8636363636363,114969376954.23181
Internet,2015.909090909091,115121114070.71136
Internet,2015.9545454545455,115214205684.81244
Internet,2016.0,115359300000.0
Internet,2016.0454545454545,115571124046.75797
Internet,2016.090909090909,115707029043.39844
Internet,2016.1363636363637,115928550954.95323
Internet,2016.1818181818182,116287011584.7189
Internet,2016.2272727272727,116860295687.95877
Internet,2016.2727272727273,117760158296.94635
Internet,2016.3181818181818,119131989039.9546
Internet,2016.3636363636363,121132940130.6045
Internet,2016.409090909091,123871107727.36539
Internet,2016.4545454545455,127308197888.99315
Internet,2016.5,131183950000.0
Internet,2016.5454545454545,135059702111.00685
Internet,2016.590909090909,138496792272.6346
Internet,2016.6363636363637,141234959869.39548
Internet,2016.6818181818182,143235910960.04538
Internet,2016.7272727272727,144607741703.05365
Internet,2016.7727272727273,145507604312.04123
Internet,2016.8181818181818,146080888415.2811
Internet,2016.8636363636363,146439349045.04678
Internet,2016.909090909091,146660870956.60156
Internet,2016.9545454545455,146796775953.24203
Internet,2017.0,147008600000.0
Internet,2017.0454545454545,147235993625.86313
Internet,2017.090909090909,147381887968.03998
Internet,2017.1363636363637,147619692275.18805
Internet,2017.1818181818182,148004500627.11578
Internet,2017.2272727272727,148619922496.73175
Internet,2017.2727272727273,149585927181.12976
Internet,2017.3181818181818,151058590797.45465
Internet,2017.3636363636363,153206616626.63525
Internet,2017.409090909091,156146046155.8984
Internet,2017.4545454545455,159835770746.81827
Internet,2017.5,163996400000.0
Internet,2017.5454545454545,168157029253.18173
Internet,2017.590909090909,171846753844.1016
Internet,2017.6363636363637,174786183373.36475
Internet,2017.6818181818182,176934209202.54535
Internet,2017.7272727272727,178406872818.87024
Internet,2017.7727272727273,179372877503.26828
Internet,2017.8181818181818,179988299372.88422
Internet,2017.8636363636363,180373107724.81195
Internet,2017.909090909091,180610912031.96002
Internet,2017.9545454545455,180756806374.13687
Internet,2018.0,180984200000.0
Internet,2018.0454545454545,181217068377.9192
Internet,2018.090909090909,181366475287.11182
Internet,2018.1363636363637,181610004994.93704
Internet,2018.1818181818182,182004078031.8704
Internet,2018.2272727272727,182634316860.991
Internet,2018.2727272727273,183623579172.38715
Internet,2018.3181818181818,185131698787.66876
Internet,2018.3636363636363,187331440705.10883
Internet,2018.409090909091,190341640238.57907
Internet,2018.4545454545455,194120199013.89514
Internet,2018.5,198381000000.0
Internet,2018.5454545454545,202641800986.10486
Internet,2018.590909090909,206420359761.42093
Internet,2018.6363636363637,209430559294.89117
Internet,2018.6818181818182,211630301212.33124
Internet,2018.7272727272727,213138420827.61285
Internet,2018.7727272727273,214127683139.00903
Internet,2018.8181818181818,214757921968.1296
Internet,2018.8636363636363,215151995005.063
Internet,2018.909090909091,215395524712.88818
Internet,2018.9545454545455,215544931622.0808
Internet,2019.0,215777800000.0
Internet,2019.0454545454545,215741993247.55508
Internet,2019.090909090909,215719019856.92633
Internet,2019.1363636363637,215681573776.70282
Internet,2019.1818181818182,215620979565.48026
Internet,2019.2272727272727,215524071578.50003
Internet,2019.2727272727273,215371958736.88635
Internet,2019.3181818181818,215140064367.18167
Internet,2019.3636363636363,214801823447.636
Internet,2019.409090909091,214338963395.67053
Internet,2019.4545454545455,213757957421.92993
Internet,2019.5,213102800000.0
Internet,2019.5454545454545,212447642578.07007
Internet,2019.590909090909,211866636604.32947
Internet,2019.6363636363637,211403776552.364
Internet,2019.6818181818182,211065535632.81833
Internet,2019.7272727272727,210833641263.11365
Internet,2019.7727272727273,210681528421.49997
Internet,2019.8181818181818,210584620434.51974
Internet,2019.8636363636363,210524026223.29718
Internet,2019.909090909091,210486580143.07367
Internet,2019.9545454545455,210463606752.44492
Internet,2020.0,210427800000.0
Internet,2020.0454545454545,210594405807.34332
Internet,2020.090909090909,210701299061.59763
Internet,2020.1363636363637,210875532523.20734
Internet,2020.1818181818182,211157472291.3166
Internet,2020.2272727272727,211608377003.5965
Internet,2020.2727272727273,212316145261.08682
Internet,2020.3181818181818,213395130258.18878
Internet,2020.3636363636363,214968936806.664
Internet,2020.409090909091,217122585696.30542
Internet,2020.4545454545455,219825957622.4591
Internet,2020.5,222874350000.0
Internet,2020.5454545454545,225922742377.5409
Internet,2020.590909090909,228626114303.69458
Internet,2020.6363636363637,230779763193.336
Internet,2020.6818181818182,232353569741.81122
Internet,2020.7272727272727,233432554738.91318
Internet,2020.7727272727273,234140322996.4035
Internet,2020.8181818181818,234591227708.6834
Internet,2020.8636363636363,234873167476.79266
Internet,2020.909090909091,235047400938.40237
Internet,2020.9545454545455,235154294192.65668
Internet,2021.0,235320900000.0
Internet,2021.0454545454545,235463868665.734
Internet,2021.090909090909,235555596476.30914
Internet,2021.1363636363637,235705110625.48422
Internet,2021.1818181818182,235947050285.97202
Internet,2021.2272727272727,236333983047.2953
Internet,2021.2727272727273,236941336926.70578
Internet,2021.3181818181818,237867241298.48328
Internet,2021.3636363636363,239217764584.2371
Internet,2021.409090909091,241065865278.453
Internet,2021.4545454545455,243385697242.4647
Internet,2021.5,246001600000.0
Internet,2021.5454545454545,248617502757.5353
Internet,2021.590909090909,250937334721.547
Internet,2021.6363636363637,252785435415.7629
Internet,2021.6818181818182,254135958701.51672
Internet,2021.7272727272727,255061863073.29422
Internet,2021.7727272727273,255669216952.7047
Internet,2021.8181818181818,256056149714.02798
Internet,2021.8636363636363,256298089374.51578
Internet,2021.909090909091,256447603523.69086
Internet,2021.9545454545455,256539331334.266
Internet,2022.0,256682300000.0
Internet,2022.0454545454545,256798590961.94983
Internet,2022.090909090909,256873202522.9836
Internet,2022.1363636363637,256994817592.57532
Internet,2022.1818181818182,257191611734.1971
Internet,2022.2272727272727,257506343516.80948
Internet,2022.2727272727273,258000366221.1411
Internet,2022.3181818181818,258753498451.3031
Internet,2022.3636363636363,259852016446.34497
Internet,2022.409090909091,261355264772.87222
Internet,2022.4545454545455,263242220136.63528
Internet,2022.5,265370000000.0
Internet,2022.5454545454545,267497779863.36472
Internet,2022.590909090909,269384735227.12778
Internet,2022.6363636363637,270887983553.65503
Internet,2022.6818181818182,271986501548.6969
Internet,2022.7272727272727,272739633778.8589
Internet,2022.7727272727273,273233656483.19052
Internet,2022.8181818181818,273548388265.8029
Internet,2022.8636363636363,273745182407.42468
Internet,2022.909090909091,273866797477.0164
Internet,2022.9545454545455,273941409038.05017
Internet,2023.0,274057700000.0
Internet,2023.0454545454545,274185759001.72998
Internet,2023.090909090909,274267920864.21097
Internet,2023.1363636363637,274401842745.55167
Internet,2023.1818181818182,274618551429.52722
Internet,2023.2272727272727,274965132429.6176
Internet,2023.2727272727273,275509147659.07245
Internet,2023.3181818181818,276338492949.0946
Internet,2023.3636363636363,277548175244.8537
Internet,2023.409090909091,279203544474.0671
Internet,2023.4545454545455,281281449894.58307
Internet,2023.5,283624550000.0
Internet,2023.5454545454545,285967650105.41693
Internet,2023.590909090909,288045555525.9329
Internet,2023.6363636363637,289700924755.1463
Internet,2023.6818181818182,290910607050.9054
Internet,2023.7272727272727,291739952340.92755
Internet,2023.7727272727273,292283967570.3824
Internet,2023.8181818181818,292630548570.4728
Internet,2023.8636363636363,292847257254.4483
Internet,2023.909090909091,292981179135.789
Internet,2023.9545454545455,293063340998.27
Internet,2024.0,293191400000.0
Magazines,2012.0454545454545,19367535067.040543
Magazines,2012.090909090909,19365632784.414646
Magazines,2012.1363636363637,19362532108.986794
Magazines,2012.1818181818182,19357514681.77715
Magazines,2012.2272727272727,19349490338.18234
Magazines,2012.2727272727273,19336894826.250587
Magazines,2012.3181818181818,19317693105.5442
Magazines,2012.3636363636363,19289685492.953785
Magazines,2012.409090909091,19251358950.33309
Magazines,2012.4545454545455,19203249483.72242
Magazines,2012.5,19149000000.0
Magazines,2012.5454545454545,19094750516.27758
Magazines,2012.590909090909,19046641049.66691
Magazines,2012.6363636363637,19008314507.046215
Magazines,2012.6818181818182,18980306894.4558
Magazines,2012.7272727272727,18961105173.749413
Magazines,2012.7727272727273,18948509661.81766
Magazines,2012.8181818181818,18940485318.22285
Magazines,2012.8636363636363,18935467891.013206
Magazines,2012.909090909091,18932367215.585354
Magazines,2012.9545454545455,18930464932.959457
Magazines,2013.0,18927500000.0
Magazines,2013.0454545454545,18916252664.02174
Magazines,2013.090909090909,18909036442.909286
Magazines,2013.1363636363637,18897274174.158707
Magazines,2013.1818181818182,18878240796.222347
Magazines,2013.2272727272727,18847800820.1251
Magazines,2013.2727272727273,18800020328.4743
Magazines,2013.3181818181818,18727179489.541832
Magazines,2013.3636363636363,18620933907.24342
Magazines,2013.409090909091,18475543941.387722
Magazines,2013.4545454545455,18293042906.084717
Magazines,2013.5,18087250000.0
Magazines,2013.5454545454545,17881457093.915283
Magazines,2013.590909090909,17698956058.612278
Magazines,2013.6363636363637,17553566092.75658
Magazines,2013.6818181818182,17447320510.458168
Magazines,2013.7272727272727,17374479671.5257
Magazines,2013.7727272727273,17326699179.8749
Magazines,2013.8181818181818,17296259203.777653
Magazines,2013.8636363636363,17277225825.841293
Magazines,2013.909090909091,17265463557.090714
Magazines,2013.9545454545455,17258247335.97826
Magazines,2014.0,17247000000.0
Magazines,2014.0454545454545,17237595205.881195
Magazines,2014.090909090909,17231561148.215492
Magazines,2014.1363636363637,17221725777.76127
Magazines,2014.1818181818182,17205810453.348194
Magazines,2014.2272727272727,17180357163.010883
Magazines,2014.2727272727273,17140404085.434149
Magazines,2014.3181818181818,17079496053.97452
Magazines,2014.3636363636363,16990655653.947308
Magazines,2014.409090909091,16869083514.690884
Magazines,2014.4545454545455,16716479852.204845
Magazines,2014.5,16544400000.0
Magazines,2014.5454545454545,16372320147.795155
Magazines,2014.590909090909,16219716485.309116
Magazines,2014.6363636363637,16098144346.052692
Magazines,2014.6818181818182,16009303946.02548
Magazines,2014.7272727272727,15948395914.565851
Magazines,2014.7727272727273,15908442836.989117
Magazines,2014.8181818181818,15882989546.651806
Magazines,2014.8636363636363,15867074222.238731
Magazines,2014.909090909091,15857238851.78451
Magazines,2014.9545454545455,15851204794.118805
Magazines,2015.0,15841800000.0
Magazines,2015.0454545454545,15831527143.116316
