Year,Timeframe,Week,Counts (31 counters),Covid Period,Pedestrians (14 counters),Bikes (14 counters),Theta,x,y
2019,Week 1,2018-12-30,167679,N,68957.0,63100.0,0.12566370614359174,21015.751270828972,166356.80100171032
2019,Week 2,2019-01-06,82340,N,34778.0,31703.0,0.25132741228718347,20477.125309154144,79753.13748733148
2019,Week 3,2019-01-13,62315,N,32065.0,18082.0,0.37699111843077515,22939.681500545703,57939.02171812639
2019,Week 4,2019-01-20,75801,N,35016.0,26280.0,0.5026548245743669,36517.41025058412,66424.9226540049
2019,Week 5,2019-01-27,75841,N,33627.0,24447.0,0.6283185307179586,44578.22131911346,61356.65787039039
2019,Week 6,2019-02-03,79780,N,35217.0,28308.0,0.7539822368615503,54613.16811099078,58157.117095680216
2019,Week 7,2019-02-10,65732,N,32171.0,21176.0,0.8796459430051422,50647.37647413818,41899.153694160865
2019,Week 8,2019-02-17,69492,N,36288.0,22085.0,1.0053096491487339,58674.03619898603,37235.67563668043
2019,Week 9,2019-02-24,85688,N,44410.0,28591.0,1.1309733552923256,77532.82047170828,36484.17593562794
2019,Week 10,2019-03-03,84512,N,65887.0,31425.0,1.2566370614359172,80375.68830513602,26115.644228615558
2019,Week 11,2019-03-10,107995,N,23076.0,36968.0,1.382300767579509,106082.11164244472,20236.24506868534
2019,Week 12,2019-03-17,125440,Y,30298.0,20937.0,1.5079644737231006,125192.47281404238,7876.442769757087
2019,Week 13,2019-03-24,136330,Y,68805.0,43560.0,1.6336281798666925,136060.98388662626,-8560.231527431297
2019,Week 14,2019-03-31,118784,Y,62779.0,22880.0,1.7592918860102844,116680.00879055655,-22257.902071750737
2019,Week 15,2019-04-07,132033,Y,83893.0,65750.0,1.8849555921538759,125570.84501599803,-40800.44081830742
2019,Week 16,2019-04-14,133267,Y,71677.0,44026.0,2.0106192982974678,120583.58680098901,-56742.32884900255
2019,Week 17,2019-04-21,165777,Y,87834.0,45732.0,2.1362830044410597,139970.15050594753,-88827.75859123314
2019,Week 18,2019-04-28,166356,Y,88284.0,50538.0,2.261946710584651,128179.5010152092,-106039.30523863301
2019,Week 19,2019-05-05,171049,Y,94980.0,53183.0,2.3876104167282426,117091.09792199629,-124689.35475180499
2019,Week 20,2019-05-12,178534,Y,100251.0,52169.0,2.5132741228718345,104939.65223278441,-144437.04007373686
2019,Week 21,2019-05-19,191319,Y,179060.0,64922.0,2.638937829015426,92168.63117546613,-167654.1177193119
2019,Week 22,2019-05-26,240507,Y,132357.0,77048.0,2.764601535159018,88536.53179253389,-223617.75329152567
2019,Week 23,2019-06-02,211380,Y,97451.0,81672.0,2.8902652413026098,52568.06834890701,-204739.10859937003
2019,Week 24,2019-06-09,214729,Y,94747.0,91417.0,3.015928947446201,26912.67991002955,-213035.7976985565
2019,Week 25,2019-06-16,202847,Y,87304.0,85124.0,3.141592653589793,2.4841592926664316e-11,-202847.0
2019,Week 26,2019-06-23,202445,Y,84230.0,88284.0,3.267256359733385,-25373.086468925587,-200848.66070760947
2019,Week 27,2019-06-30,184658,Y,68866.0,85466.0,3.392920065876977,-45922.5771840878,-178856.62936769077
2019,Week 28,2019-07-07,185302,Y,69626.0,85130.0,3.518583772020569,-68214.21586157627,-172289.44238806472
2019,Week 29,2019-07-14,166125,Y,64104.0,76352.0,3.64424747816416,-80031.3291101474,-145576.44722228686
2019,Week 30,2019-07-21,208809,Y,85786.0,90580.0,3.7699111843077517,-122734.850745939,-168930.0295784384
2019,Week 31,2019-07-28,197005,Y,81182.0,86638.0,3.8955748904513436,-134859.20260348133,-143610.46444515517
2019,Week 32,2019-08-04,180605,Y,71150.0,76065.0,4.0212385965949355,-139158.54421152142,-115121.95966856209
2019,Week 33,2019-08-11,191450,Y,90778.0,73885.0,4.1469023027385274,-161646.58133736084,-102584.03989872885
2019,Week 34,2019-08-18,168754,Y,61826.0,73714.0,4.272566008882119,-152693.1844118507,-71851.95856877218
2019,Week 35,2019-08-25,176624,Y,69618.0,73190.0,4.39822971502571,-167979.40613411518,-54579.81761448074
2019,Week 36,2019-09-01,184806,Y,73657.0,76248.0,4.523893421169302,-181532.57765816606,-34629.19122332943
2019,Week 37,2019-09-08,157345,Y,64835.0,63340.0,4.649557127312894,-157034.51558454637,-9879.774295339785
2019,Week 38,2019-09-15,152527,Y,56589.0,64556.0,4.775220833456485,-152226.022806979,9577.249572247498
2019,Week 39,2019-09-22,141072,Y,51308.0,60301.0,4.900884539600077,-138573.22703479757,26434.256811237294
2019,Week 40,2019-09-29,135881,Y,57862.0,52573.0,5.026548245743669,-129230.51049070177,41989.538212662206
2019,Week 41,2019-10-06,132239,Y,59866.0,45322.0,5.15221195188726,-119653.424591054,56304.627737273535
2019,Week 42,2019-10-13,110816,Y,50785.0,39078.0,5.277875658030852,-93565.04339243135,59378.18211239242
2019,Week 43,2019-10-20,110761,Y,50692.0,39398.0,5.403539364174444,-85342.81728308923,70601.71852855457
2019,Week 44,2019-10-27,109795,Y,54306.0,37277.0,5.529203070318036,-75159.8494954404,80037.11044773385
2019,Week 45,2019-11-03,109766,Y,58888.0,34454.0,5.654866776461628,-64518.83600313562,88802.55940456047
2019,Week 46,2019-11-10,86824,Y,46887.0,28255.0,5.7805304826052195,-41827.78100020733,76084.45118812841
2019,Week 47,2019-11-17,88122,Y,,,5.9061941887488105,-32439.87183167925,81933.76348944446
2019,Week 48,2019-11-24,72380,Y,,,6.031857894892402,-18000.17403299223,70106.0492024903
2019,Week 49,2019-12-01,81871,Y,,,6.157521601035994,-10261.157165143188,81225.4227113176
2019,Week 50,2019-12-08,68364,Y,,,6.283185307179586,-1.6744350755381932e-11,68364.0
2020,Week 1,2019-12-29,183546,N,93654.0,47315.0,0.12566370614359174,23004.41368779379,182098.68496746715
2020,Week 2,2020-01-05,97140,N,46964.0,25980.0,0.25132741228718347,24157.735639193994,94088.16827203523
2020,Week 3,2020-01-12,75782,N,38302.0,19569.0,0.37699111843077515,27897.214851550263,70460.32165358347
2020,Week 4,2020-01-19,83809,N,41506.0,22907.0,0.5026548245743669,40375.293672790656,73442.38654779617
2020,Week 5,2020-01-26,94738,N,46335.0,25713.0,0.6283185307179586,55685.59923168432,76644.65201309377
2020,Week 6,2020-02-02,153555,N,67437.0,34427.0,0.7539822368615503,105115.63085087978,111936.77758369486
2020,Week 7,2020-02-09,130351,N,50846.0,32574.0,0.8796459430051422,100437.17170906691,83088.85448773144
2020,Week 8,2020-02-16,149876,N,69353.0,47713.0,1.0053096491487339,126544.49216254002,80307.5767242721
2020,Week 9,2020-02-23,141250,N,64508.0,44536.0,1.1309733552923256,127806.82116082526,60141.32493356651
2020,Week 10,2020-03-01,167528,N,64326.0,63555.0,1.2566370614359172,159328.59606189447,51768.9990336462
2020,Week 11,2020-03-08,210182,N,85501.0,71976.0,1.382300767579509,206459.09893265722,39384.17946225679
2020,Week 12,2020-03-15,367795,Y,117152.0,94145.0,1.5079644737231006,367069.24058227614,23094.03913028386
2020,Week 13,2020-03-22,372783,Y,106175.0,69574.0,1.6336281798666925,372047.3979036764,-23407.23824169604
2020,Week 14,2020-03-29,280728,Y,113005.0,73814.0,1.7592918860102844,275755.5353225633,-52603.18168102136
2020,Week 15,2020-04-05,419160,Y,107420.0,81686.0,1.8849555921538759,398644.8493702766,-129527.56336220293
2020,Week 16,2020-04-12,241810,Y,122291.0,81775.0,2.0106192982974678,218796.22955680816,-102957.69049335025
2020,Week 17,2020-04-19,231184,Y,106246.0,84412.0,2.1362830044410597,195195.10712925784,-123874.58177042438
2020,Week 18,2020-04-26,276982,Y,109459.0,106090.0,2.261946710584651,213418.29901052365,-176554.97152857156
2020,Week 19,2020-05-03,244058,Y,109391.0,96285.0,2.3876104167282426,167069.19757874394,-177910.6252712148
2020,Week 20,2020-05-10,281348,Y,119716.0,115579.0,2.5132741228718345,165372.20516198277,-227615.31333340268
2020,Week 21,2020-05-17,255226,Y,106249.0,104040.0,2.638937829015426,122956.06322628446,-223656.2487208751
2020,Week 22,2020-05-24,299567,Y,111028.0,133746.0,2.764601535159018,110277.96787409097,-278530.3525480858
2020,Week 23,2020-05-31,278800,Y,115580.0,121249.0,2.8902652413026098,69334.74054156152,-270040.98532266234
2020,Week 24,2020-06-07,296335,Y,122561.0,129916.0,3.015928947446201,37140.62376827819,-293998.3100140258
2020,Week 25,2020-06-14,255112,Y,105924.0,110954.0,3.141592653589793,3.124220942240796e-11,-255112.0
2020,Week 26,2020-06-21,256615,Y,97094.0,123108.0,3.267256359733385,-32162.38773110395,-254591.51407781473
2020,Week 27,2020-06-28,236287,Y,80405.0,118482.0,3.392920065876977,-58762.1873685221,-228863.60939360084
2020,Week 28,2020-07-05,244342,Y,87187.0,118638.0,3.518583772020569,-89948.28945207968,-227183.44611490707
2020,Week 29,2020-07-12,250590,Y,94974.0,121665.0,3.64424747816416,-120722.65319314876,-219593.6909521918
2020,Week 30,2020-07-19,223757,Y,83103.0,109271.0,3.7699111843077517,-131521.0646972069,-181023.2156103551
2020,Week 31,2020-07-26,238673,Y,88592.0,115832.0,3.8955748904513436,-163382.91141331792,-173985.12921255056
2020,Week 32,2020-08-02,239827,Y,93785.0,114110.0,4.0212385965949355,-184789.87947518923,-152871.483189459
2020,Week 33,2020-08-09,219279,Y,84000.0,103901.0,4.1469023027385274,-185143.3831761564,-117495.56377619934
2020,Week 34,2020-08-16,241007,Y,86466.0,121113.0,4.272566008882119,-218069.65343367803,-102615.78972222334
2020,Week 35,2020-08-23,273677,Y,72144.0,116564.0,4.39822971502571,-260282.29421010872,-84570.84396955253
2020,Week 36,2020-08-30,227918,Y,85100.0,112050.0,4.523893421169302,-223880.94561158126,-42707.574457749186
2020,Week 37,2020-09-06,207670,Y,73695.0,96760.0,4.649557127312894,-207260.21069269915,-13039.70719065247
2020,Week 38,2020-09-13,207320,Y,75856.0,94094.0,4.775220833456485,-206910.90133774927,13017.730508817136
2020,Week 39,2020-09-20,207918,Y,81451.0,93923.0,4.900884539600077,-204235.2005970075,38959.94816603462
2020,Week 40,2020-09-27,186004,Y,75523.0,82615.0,5.026548245743669,-176900.31625696376,57478.39702171768
2020,Week 41,2020-10-04,182924,Y,74958.0,78776.0,5.15221195188726,-165514.58374529422,77885.2511302492
2020,Week 42,2020-10-11,159246,Y,66941.0,65208.0,5.277875658030852,-134455.84482449395,85328.27379322519
2020,Week 43,2020-10-18,141404,Y,66721.0,56905.0,5.403539364174444,-108953.65458146775,90134.30184642367
2020,Week 44,2020-10-25,147907,Y,95193.0,42349.0,5.529203070318036,-101249.3087965946,107819.56277601869
2020,Week 45,2020-11-01,154502,Y,61197.0,70493.0,5.654866776461628,-90813.99704969171,124994.74366491812
2020,Week 46,2020-11-08,155805,Y,96682.0,46105.0,5.7805304826052195,-75059.63119341775,136532.96228423418
2020,Week 47,2020-11-15,97835,Y,,,5.9061941887488105,-36015.465611905536,90964.68249687705
2020,Week 48,2020-11-22,101036,Y,,,6.031857894892402,-25126.631439588324,97861.76826779236
2020,Week 49,2020-11-29,84123,Y,,,6.157521601035994,-10543.407607130002,83459.66501867781
2020,Week 50,2020-12-06,92126,Y,,,6.283185307179586,-2.2564362203649814e-11,92126.0
